scenario,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown
697,30.931748965513982,30.931748965513982,18.727254933007657,1.5330968531607776,-8.807934110731495
698,-8.136756139222157,-8.136756139222157,22.968827990155365,-0.2539178444143224,-23.10249984570836
699,-4.377395636674752,-4.377395636674752,18.045356332031037,-0.1583459856625932,-31.099258385413215
700,18.101967386911323,18.101967386911323,23.826715501377045,0.8235478819252019,-29.229581919261648
701,6.6533581484348625,6.6533581484348625,17.51323383373797,0.45556530228081127,-13.039989437496926
702,15.726138633302256,15.726138633302256,17.74036273718683,0.9115795809671422,-19.493676704688635
703,-28.140227831213128,-28.140227831213128,22.69423776630463,-1.3415914280609629,-34.39531877460618
704,0.18122881094018162,0.18122881094018162,20.59366303129929,0.11120980259281747,-20.60075644571777
705,-5.928889318543784,-5.928889318543784,20.081927490461887,-0.20405054408379678,-29.190413766437377
706,6.218870535657639,6.218870535657639,22.240205480303025,0.38038596875556246,-22.794973928216404
707,12.075323749033483,12.075323749033483,20.354282968044604,0.6615995878603308,-20.391252540813316
708,-14.81756008157651,-14.81756008157651,24.842171895227327,-0.5151054648201578,-21.675017835593458
709,-24.535630365315942,-24.535630365315942,19.751802150881705,-1.3257621051239712,-32.07551029425302
710,-3.031509397473653,-3.031509397473653,20.905156844690627,-0.042827670057510064,-14.88167774481481
711,2.593092712938261,2.593092712938261,20.99640872940811,0.22577017265394195,-20.180650029103628
712,19.898138393812292,19.898138393812292,19.67544561478438,1.0224364765038672,-17.75512514352906
713,17.124281095436665,17.124281095436665,18.772962092953374,0.9359833991595229,-12.156134021689438
714,19.582360789230947,19.582360789230947,20.57829259976729,0.9737585227290891,-20.467703591881385
715,-15.521075236846126,-15.521075236846126,19.331322448092237,-0.775576254483049,-25.508781349813216
716,8.151389362385665,8.151389362385665,18.06712811289084,0.5239163982625612,-19.677242580301684
717,27.84836013723977,27.84836013723977,20.892244201940194,1.2810935899845608,-15.169714662391403
718,22.48094024047882,22.48094024047882,26.004232705360803,0.9154883769774146,-21.08791458802571
719,72.10533178886969,72.10533178886969,19.805384143344185,2.8419744492298675,-13.964318718820417
720,-17.72145974646846,-17.72145974646846,21.141004091254484,-0.816666634530353,-20.26670125273837
721,2.6336538386768638,2.6336538386768638,21.13313826971864,0.22924365102556135,-21.797039803957027
722,25.289332434263166,25.289332434263166,17.961283656203552,1.3449036746973633,-10.479122253226635
723,10.449068705663954,10.449068705663954,19.61811596902622,0.6043443043253753,-16.84245026332008
724,11.972285099619784,11.972285099619784,20.874706922223822,0.6455790138716615,-23.010536843939715
725,-3.4475900375368407,-3.4475900375368407,23.342177895904147,-0.03323167778285198,-17.091841722976707
726,2.023476382513878,2.023476382513878,19.77760354291208,0.20049623197458152,-18.210990791292
727,2.591486177938651,2.591486177938651,23.134895333674805,0.2253603157891929,-28.836654599049318
728,-22.45025942837269,-22.45025942837269,22.131126894954146,-1.0369724765724826,-29.788945979181886
729,-24.417821107722048,-24.417821107722048,23.308058177646153,-1.0830940537980431,-34.588603379253456
730,-15.771072352196535,-15.771072352196535,24.184560855063207,-0.5824804014603472,-33.18117555234183
731,17.9169587014391,17.9169587014391,20.14564223474845,0.9202846840872216,-14.805884863268389
732,35.65687463257752,35.65687463257752,19.231719940466842,1.6823016798295694,-8.131180493531382
733,9.514056659349768,9.514056659349768,20.176853652241324,0.5520677126841838,-15.82099010117475
734,-7.113801707676737,-7.113801707676737,21.945217746108295,-0.22610106435668548,-14.810817424348183
735,-16.56882957669238,-16.56882957669238,22.145328938961782,-0.705615187517167,-21.55570567506291
736,74.86312775196622,74.86312775196622,17.79783830703921,3.2316577765672307,-8.001876850124209
737,26.847377225120628,26.847377225120628,19.923397521284727,1.2932302747611517,-16.10503497638715
738,1.5984467808282776,1.5984467808282776,19.595982878509936,0.17921682465205505,-14.478638981331422
739,10.281963401082027,10.281963401082027,17.32456233882467,0.6517453916048946,-11.150788108732566
740,27.358909009248865,27.358909009248865,19.75317698981191,1.3232858425872085,-9.635091655615142
741,17.615510443287885,17.615510443287885,19.69172374897355,0.9223264729244246,-18.23268094554937
742,17.166435334297958,17.166435334297958,19.24790335661458,0.9198779362101448,-17.800126477087233
743,-25.05143867796069,-25.05143867796069,21.513993687312684,-1.2307062621053886,-30.157602092601145
744,20.629135296998303,20.629135296998303,20.03213692924051,1.0353571132258401,-8.721124414421132
745,0.6499299098595701,0.6499299098595701,19.236811612868742,0.12996692493418666,-14.787819606972244
746,22.5649757864538,22.5649757864538,20.055493799712963,1.115891346808604,-15.380471223124962
747,-24.613482423131195,-24.613482423131195,28.439089337724706,-0.8464253338716029,-39.9842818463478
748,54.97005102984449,54.97005102984449,18.27966093621458,2.48915726967329,-6.9794811659701335
749,38.01506718363545,38.01506718363545,23.636594835078046,1.4804664071182245,-15.530650583583544
750,-6.156833066705792,-6.156833066705792,24.811764728673428,-0.1263905164853611,-19.24393039600752
751,-5.364513711876928,-5.364513711876928,21.726519833770723,-0.1457854926804821,-22.691813821565752
752,57.93745482362205,57.93745482362205,21.509376601350098,2.233019037961822,-17.482781539016656
753,14.509321975796974,14.509321975796974,19.43728940795587,0.7937573807256001,-11.11581553751217
754,-2.757582929290059,-2.757582929290059,24.959639586052727,0.01284610532769099,-23.35335563411482
755,26.610293445212307,26.610293445212307,18.690741370798968,1.3556338672112587,-19.788299808134067
756,14.61209576970357,14.61209576970357,22.877930061938503,0.7096907399268312,-19.42856610304046
757,-4.385802725440524,-4.385802725440524,23.099005200822578,-0.07716596122687161,-15.410903234479287
758,-6.92273984761822,-6.92273984761822,26.474717067190184,-0.13461081985067339,-17.364526965489
759,5.922540707378809,5.922540707378809,21.35642197947528,0.3755296786557098,-27.55770098330584
