Date,WTI,XLE,XOM,CVX,IEF,SHY,SPY,FEDFUNDS,CPIAUCSL,INDPRO,UNRATE,T10Y2Y,DCOILWTICO,DGS10,VIXCLS,WTI_RETURN,XLE_RETURN,XOM_RETURN,CVX_RETURN,IEF_RETURN,SHY_RETURN,SPY_RETURN,FEDFUNDS_3M_CHANGE,FEDFUNDS_CHANGE,INFLATION_YOY,INDPRO_YOY
2024-08-08,76.19000244140625,85.63090515136719,111.88884735107422,135.18128967285156,91.84428405761719,78.52468872070312,522.6729736328125,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,0.012680120334172904,0.02129916691564329,0.018924255249831715,0.014500097124554322,-0.0030079616029036107,-0.0004849981656299202,0.022854155245192593,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-09,76.83999633789062,85.8228759765625,112.79997253417969,135.64910888671875,92.21637725830078,78.54373168945312,524.9777221679688,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,0.008495037712886217,0.002239331254800913,0.008110151431980578,0.0034547058353871694,0.004043163866874897,0.00024247991790559852,0.004399848656551073,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-12,80.05999755859375,86.24522399902344,112.94234466552734,135.67715454101562,92.47393798828125,78.59133911132812,525.2535400390625,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,0.04105103282825877,0.004909089723274044,0.0012613687321945159,0.00020673011187681507,0.002789111021910796,0.0006059426847111159,0.0005252516990504428,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-13,78.3499984741211,85.41012573242188,111.8603744506836,134.8632049560547,92.88419342041016,78.71514892578125,533.8917236328125,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,-0.021590373742851835,-0.00973001839271335,-0.00962602742292712,-0.00601723190112829,0.004426631828084504,0.0015741224861522585,0.016311974243532208,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-14,76.9800033569336,85.90926361083984,112.89488220214844,135.34971618652344,93.0082015991211,78.70561981201172,535.5759887695312,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,-0.01764025786340206,0.005827002917062302,0.009205702884444469,0.0036009510879141853,0.0013341933336562968,-0.00012106552213636026,0.0031497286166253516,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-15,78.16000366210938,86.93634796142578,113.59330749511719,137.3424835205078,92.42625427246094,78.5151596069336,544.7559204101562,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,0.015212363125069652,0.011884553275267494,0.006167451890197034,0.014615766865978168,-0.006276603066505296,-0.002422838748810954,0.016995059604238794,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-16,76.6500015258789,86.84034729003906,113.05753326416016,137.78219604492188,92.60751342773438,78.60086059570312,545.9772338867188,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,-0.019508429363616648,-0.0011048740570631466,-0.00472775858335471,0.003196462778263411,0.0019592014528607574,0.0010909262742085433,0.0022394368084737923,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-19,74.37000274658203,87.4258804321289,113.40196228027344,138.90798950195312,92.73153686523438,78.58182525634766,551.1975708007812,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,-0.030196953578393984,0.006720009415779582,0.003041862129618586,0.008137619101899652,0.001338341335148568,-0.00024220656804961575,0.009516033881974173,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-20,74.04000091552734,85.12216186523438,109.62284851074219,136.88343811035156,93.10359954833984,78.69609069824219,550.30126953125,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,-0.004447171575921042,-0.02670393048858189,-0.03389287060275941,-0.014682020953181427,0.004004228558912658,0.0014530388618803592,-0.0016274215360631377,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-21,71.93000030517578,85.26615142822266,108.92442321777344,137.47946166992188,93.29442596435547,78.78181457519531,552.1923828125,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,-0.028912071948661716,0.001690134663361061,-0.006391547834104072,0.004344789311176789,0.002047516138198438,0.0010887100037504233,0.0034306141027779756,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-22,73.01000213623047,85.48690795898438,109.76636505126953,137.86734008789062,92.8650894165039,78.67705535888672,547.8584594726562,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,0.014903019205474667,0.002585683144391855,0.007699876157715997,0.0028173828209562555,-0.004612574416956339,-0.0013306234422908356,-0.007879537193415912,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-23,74.83000183105469,86.76355743408203,111.28756713867188,139.6553497314453,93.29442596435547,78.85797882080078,553.6796875,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,0.024622451234376702,0.014823447345735236,0.013763393266291836,0.012885680697732807,0.004612574416956298,0.002296930868749835,0.010569370175318211,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-26,77.41999816894531,87.54105377197266,113.66983795166016,140.48788452148438,93.17993927001953,78.81988525390625,552.3598022460938,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,0.03402622293678218,0.008921181018501577,0.021180541904259904,0.005943654096608823,-0.001227908281944292,-0.00048318218741994666,-0.0023866885272709032,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-27,75.52999877929688,86.72515869140625,112.5887222290039,139.02151489257812,93.14176940917969,78.86750793457031,553.1182861328125,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,-0.024715209335050777,-0.009363846618436368,-0.009556535228852293,-0.010492549339047747,-0.0004097199584995942,0.0006040138168180531,0.0013722280228102702,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-28,74.5199966430664,86.1684341430664,111.47891998291016,138.12277221679688,93.09408569335938,78.85797882080078,549.9072265625,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,-0.013462411477556464,-0.00644010530857232,-0.009906038288202804,-0.0064857611580442205,-0.0005120788028281869,-0.00012083162939805046,-0.005822292602210059,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-29,75.91000366210938,87.29149627685547,113.01925659179688,139.46617126464844,92.93189239501953,78.84846496582031,549.9564819335938,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,0.018480975585486233,0.0129491326780937,0.013722701933461917,0.009679128563797575,-0.0017437708550760804,-0.00012065271099365318,8.956631761958823e-05,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-30,73.55000305175781,87.61784362792969,112.83747863769531,139.96755981445312,92.60751342773438,78.84846496582031,555.2064208984375,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,-0.03158298773172092,0.0037316215354843605,-0.0016096752055373966,0.0035886081894720874,-0.0034966081339112384,0.0,0.009500822805555255,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-09-03,70.33999633789062,85.43892669677734,110.47434997558594,136.85507202148438,93.2179946899414,78.93255615234375,543.7808227539062,5.13,314.851,102.5954,4.1,-0.17,77.74,3.99,18.59,-0.04462491355686993,-0.025182858518792983,-0.021165174210649944,-0.0224881827140026,0.006570502238061854,0.0010659228073119666,-0.020793707823764444,-0.20000000000000018,-0.20000000000000018,2.8461020846807683,-0.4846981088335034
2024-09-04,69.19999694824219,84.25826263427734,109.1253433227539,134.40481567382812,93.76341247558594,79.10456848144531,542.6677856445312,5.13,314.851,102.5954,4.1,-0.17,77.74,3.99,18.59,-0.016339756459787656,-0.01391517582936668,-0.012286206797518283,-0.018066239080445707,0.005833941896655701,0.0021768606259663105,-0.0020489464299835963,-0.20000000000000018,0.0,2.432541464144644,-0.6898781412106092
2024-09-05,69.1500015258789,83.60555267333984,108.27384948730469,133.32632446289062,93.98348999023438,79.13322448730469,541.3478393554688,5.13,314.851,102.5954,4.1,-0.17,77.74,3.99,18.59,-0.0007227383460925007,-0.007776699811526949,-0.007833499091449205,-0.00805656782371323,0.0023444074182636257,0.00036218915386777276,-0.002435291357367115,-0.20000000000000018,0.0,2.432541464144644,-0.6898781412106092
2024-09-06,67.66999816894531,82.55928802490234,107.76677703857422,131.0841827392578,94.1174545288086,79.27657318115234,532.2369995117188,5.13,314.851,102.5954,4.1,-0.17,77.74,3.99,18.59,-0.021635156991438764,-0.012593259455846571,-0.004694240967859151,-0.016959957387978886,0.0014243900961439595,0.0018098468034968163,-0.01697315058800902,-0.20000000000000018,0.0,2.432541464144644,-0.6898781412106092
